,count,unique,top,freq,mean,std,min,25%,50%,75%,max
idx,20000.0,,,,10000.5,5773.647027659381,1.0,5000.75,10000.5,15000.25,20000.0
pw_len,20000.0,,,,14.01735,3.7501002840066833,8.0,11.0,14.0,17.0,20.0
pt_len,20000.0,,,,18.00355,8.410093571488611,4.0,11.0,18.0,25.0,32.0
enc_time_s,20000.0,,,,0.16511235716499942,0.019708349002397187,0.13196160001098178,0.1557727750041522,0.16193255000689533,0.17125977500109002,0.5990547999972478
dec_time_s,20000.0,,,,0.22489450236997363,5.046063923305147,0.12774490000447258,0.15624405001290143,0.16234194999560714,0.17131722499470925,551.3578374999925
correct,20000.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cpu_before,20000.0,,,,7.803744999999999,25.44722473153609,0.0,0.0,0.0,0.0,100.0
cpu_after,20000.0,,,,15.918420000000001,3.426760837597498,0.1,14.3,15.3,16.6,87.7
mem_before_mb,20000.0,,,,220.5021205078125,8.670861055361636,206.87109375,212.41796875,220.03125,227.99609375,235.67578125
mem_after_mb,20000.0,,,,220.5029615234375,8.671099291544312,206.87109375,212.41796875,220.03125,227.99609375,235.67578125
cipher_digits,20000,20000,148019088021057195210016123171203027202147094136234002118071028003066209251065161098096252253232083100164255197172164123232060092027099153147065045232040247115112157186036089161027191225001232185124145032079195182037123216214196233228129098014055040071224116066045054050043031096143110047148073088075043172203207135216160046233084238203234203053138028027080201251089184112208252119065185100164220,1,,,,,,,
cipher_bytes_len,20000.0,,,,216.0426,100.92112285786334,48.0,132.0,216.0,300.0,384.0
cipher_entropy,20000.0,,,,6.536897612498443,0.4356572978556524,4.980388542207534,6.322515831240596,6.677798970294785,6.864357197341733,7.203986852821245
chi2,20000.0,,,,406.88905666845034,95.75229853125377,212.44444444444443,329.57575757575756,400.19047619047615,474.6666666666667,833.4358974358975
chi_p,20000.0,,,,0.038182693046360086,0.12507448957712086,1.4507252927458532e-62,2.0422105222190295e-15,1.601656950209665e-08,0.0011253791007420802,0.9756277536559427
serial_corr,20000.0,,,,-0.008721999709031468,0.08241671837822986,-0.5384606842098111,-0.05896934597408439,-0.007978682144993022,0.04193614248099095,0.3805592517408505
runs_p,20000.0,,,,0.4384293392376243,0.3030250439985897,1.0979017694978666e-10,0.15979616774507188,0.41544633669406417,0.6995395427914266,1.0
throughput_ops_sec,20000.0,,,,6.109621425572589,0.48195684064658945,1.6692963648811332,5.8390827618114685,6.17541068780508,6.419607020415496,7.5779620731847785
