idx,pw_len,pt_len,enc_time_s,dec_time_s,correct,cpu_before,cpu_after,mem_before_mb,mem_after_mb,cipher_digits,cipher_bytes_len,cipher_entropy,chi2,chi_p,serial_corr,runs_p
1,9,11,0.21236700000008568,0.21446560000185855,0,17.1,31.7,207.42578125,207.42578125,148019088021057195210016123171203027202147094136234002118071028003066209251065161098096252253232083100164255197172164123232060092027099153147065045232040247115112157186036089161027191225001232185124145032079195182037123216214196233228129098014055040071224116066045054050043031096143110047148073088075043172203207135216160046233084238203234203053138028027080201251089184112208252119065185100164220,132,6.4060254640062535,317.93939393939394,0.004462627850198288,0.14703844823803286,0.505474093849863
2,18,16,0.2216846999945119,0.2273867000185419,0,0.0,27.5,207.5703125,207.5703125,255068095087229243242212153226177066153015115188221029044204166172192111227180173048070146028048095068126096162224101085202244064193090255227218168222089237166040247059212002190192080081043037175054095018102210135018220055144212073234096122063153089170245040021059212224063144240198010048175054076214177034023212009099083193143046145122088091220204245026144040227180159134133112076087200147076096035243101212140178214036202015246232030029201122016186247059098002190134080112142118095199200130177224242132078055134036014152115175221138140237166255006141212149008213080146142225,192,6.711370394007517,349.3333333333333,7.855876823103777e-05,-0.044416631500275694,0.9910348648482661
3,16,32,0.20896150000044145,0.21217089999117889,0,0.0,25.6,207.578125,207.578125,224241252088158121155042160197154233145134052238098198200224083149155041092054126184238178114233020241021245154130105185164099006114093185123134061174247224083193243233106128136081114039179041183146090205060234155185199044097095039066130074174090247031146193008075201054220247231178047022020146163081094130105075082044199209169171221252212061083187102000243022201207122247114138114075129146007081197130096042082001062233039029130209098061200224170244087075071146233194074046047126129049163245115038196125091044147209060066047017249061083224028056250031085128029170231138016233044241056081154139114075091099101209145070025238061207229022014193012138241105190085074070139075154014111057154144114189082154199114202171186114212098254022014142111022092054190085252115016004183170014012104125095185073154147068053171186238207098200224049000087233061207122247179213208237183028021205104139096075199193242077039029130021098057083119007099012138174054122163021070047233115049163012197189114066255062165178104176078209061061008224170000008022092250029163074115071237119083056174253144061080091086147016093209038231098249008066245163204126008155126085074138061126,384,6.879970226811948,616.0,6.924429214727031e-32,-0.02307457261768571,0.08983536020492067
4,15,14,0.20277709999936633,0.1947830000135582,0,0.0,20.1,207.609375,207.609375,120093068093081159124161100196056254047013199226027225096165090104078002001119198032107086112111225093014241140058237060173037104246190071199168192008024040236104127035100243112220170006112068225093068071027134237060173045114037242013028178173000024225199104047111152119112065039159032068060161221156192118167023108221056246127148139178200153096132222181242103069139106177099151112159029128068108081231124093183196056178211013055030081101042000246148101111001026106177250006233111225093153148173027116023,168,6.357272354628331,450.66666666666663,4.98130158815895e-13,-0.0989156758332155,0.31053495992798363
5,20,25,0.1658045000222046,0.17280179998488165,0,0.0,17.1,207.609375,207.609375,135013180005237208059066105135025177081005254225101110252008173140024105245194144200055234239013040184059198119187199253153236249077181033186175232149178203198140087105171002135231039041024083084034136198147052227185153236229126137054077225255094113024226135087154090194144082228230020083067034136198237020244129153251217173070249065123043209102248226119092170171242084012228085228029040006132136088244055114038200233077137054077084059110162203209140151166233002135223152041215017135006071202237255244185077200086243203245015175148149013203018123183166171038251223023230020230151250148202237208136129169052233070149005113095219209178183173180167170245254072012055085090201135250080202083199199178137056229077137014186175059032130220233119233021038242135231243026171083217246202198028255136129090236233070126197065084255209178203233135167154090002068236043041024230108053132018083004227066149251086189,300,6.868879410779577,471.4133333333333,4.3855412033745565e-15,-0.045267151640503586,0.02555591165768445
6,8,32,0.1975856999924872,0.16166599999996834,0,0.0,15.7,207.609375,207.609375,148128251036132083203190114105106117247209181117090067073018164196042077032110162153106185037110128234251228081147203190079125154247247209156230216041113168230174062072216004012043208145103001148169251228132248164060150084142247189209181165078070164168230237064215179071232006146148115067100194184036062033164190220084032092077083015063090041073168137196042215154071232003186210151110128234198166042248203060228255154031077147161160115041223129230134104039245212024125208148008067189239080086081197226060102023106097089107161063090147223018092196042157154004154211146251103107251169210166062187161212114084024055077187161219078041161168140237069157032001024064106121078040022169251028062187203190102084179055247248218077090067226088164171003014032158154211032239008107148058080178206147113170079125240117089107181160170070203168230208062157154110232003186148115107022239104143206190203060036018106207034209161207115000073168164196104039240110119064249251013040148128189143062187059170114199142133077107161117053000164042022126218165024110154105146011103187022239034204062209059004036125106055089147069141090107113168137070144014106158049153032145078001,384,6.914414292393583,579.9999999999999,2.3345262109782675e-27,0.060462021651619464,0.0058728398797618375
7,18,26,0.16408089999458753,0.17756759998155758,0,0.0,15.9,207.609375,207.609375,125020088140095048126180092045184217011227100207080232061165101002182229207184088034213235226115194199149165187026179124117201184211034048083158080038161251101028123001095207149190185182005045200174144166001071179198117254117211008215169192002194240210249122159229001043226151106232149190194174144140187253012124066202043102011025063013080176240204208184082095207028047034067037047045010243154140165253096190118224145017085133063083083220240170055040123146157002006090213185088190174061088140095212196190043090046102239143247169158176174165101117037151207122006068142123203239174099154065145138196177117090092171011227100207080232061165101002182229207043093115106182203224125171047251146046084124046151230102034227053197122220240031106040082204146002049090106223049239199171200165146025179180117224043171152071247122013232171248101040082157207002226045223123049090125020047166165253179190230004066211085138063157192176174160111117123157,312,6.762187767440033,542.974358974359,6.414502053077247e-23,0.04621645141690025,0.06241472898005074
8,19,26,0.1814035999996122,0.16849879999062978,0,0.0,14.2,207.609375,207.609375,167095050145010137040049229045032126130019093087229163164238008235076025111174173147141108170181180095165092221137116133004247162126195019039131236054040213133136013157172035119137083182046032115221182136221209246100004098254126195008233045229119189175049208218222051035076137048182185032180133011145010006183190176045057071155159224153104163252052133010085134142056076031141227044034048003165242019178059188063238097004092049100020081047134213019235110025181121110031011052116027043196011070082200183133063175120092092208102045043176229104010235076016142096110004141087185175180003165092075006239133126045237208216049243045115119191247140069076222183121226128074087163097115190165092105137033255185245067202225208243022115119059182075201211164051035047128048117023120189190104145105139149190038182097159092082127087176176103097010069143134181026110006074249246250180133041070080200172167061245254208216208100022050047134247159235110016,312,6.958611525501393,446.1538461538462,1.348341109913892e-12,0.027062019333907866,0.9034708479216735
9,11,21,0.16215810002177022,0.16722430000663735,0,0.0,17.2,207.609375,207.609375,060211152236241148210006164227039127050152157070080120173105033186197199004235159011074036194120085145042063115244048006127103078238146199223127095025155140078016025103214201076223123036243073099229075221037253243015197227078204016206253194156073242181065097202179185106076011200068194172099179075236122148114105127103039238163206244146140104088121033000009086185166169091158247210243099186122141161087210102164179157078127028047070189120251211078145009086182027246128123077113089183220218125028214048212164056012111194161146070189073173140146186170070084166221171167102017040060145174252019118227015025019046078163028157016063203251008130049163138101166246011200043017243053000152095192253080165244094012238127236157194140157072248040016197138128166255233,252,6.884674443338024,379.8730158730159,6.206542302282714e-07,-0.021716488738842146,0.7453712866282907
10,12,25,0.1699963999853935,0.15837900000042282,0,0.0,18.3,207.609375,207.609375,104164047032175152018239201168134128238079002055083060104067162227125157062135223243173098062120066064230161047016158055141098002055046214031061228188241155236167083025127169083238033115062101232064103121047156146055072168006042111248023110078249125006162167125093081071158226037171054060108226167121234144158242141238044174228094081182083184125138038073083021191030070170048110043189232234137224050212158239133102200100000248155127228060059138103073153093247011083106048098114101045234035206171058143182195168142174111151023247228060104002170099087021191169223106173171114248172110035104097085158088039102067038000082081127139150059194174235223157191003219170169115054252172164137224039016154254013098155170166028023243139114245134103073223004251198083110045115182120104230062121097141087254141230002055183082159127000184223155170167147220230011083230169115156252228064137032171085154239039102134055,300,6.932084505841279,437.28,9.208448527949687e-12,-0.0275237386781693,0.8883892520652228
11,9,16,0.1873959999938961,0.16348399998969398,0,0.0,16.9,207.609375,207.609375,208011250050086070013150191165228119023099221012192230197172084184109058057026131018102034080009208147250151082123049011076206053057092018069012174226193009032087028058213000200046095086080230232170095227246222216069135212049060092121125103015009252172184184129105208209108046095086027168237011103054086141013147086206254057193143064172218122193052084203188007003233163253091086059168112127195151243141172127108160053057196099121168051223089122133184184002232213185221091056033173027127022217082066169101034005228057252099121172011122097169084130132115072236205199091206080173,192,6.6883362822015595,373.3333333333333,1.875301909857142e-06,0.012958073747179917,0.5390436865440802
12,20,5,0.20265780002227984,0.1666296000184957,0,0.0,19.7,207.609375,207.609375,149068167131190255212061079094247194036196114115220238186033244121014048171186109118204094072255200168128197046185099226113206107015056235114181251177124091116145014111237082222118,60,5.7068905956085185,247.20000000000002,0.6252784145829642,-0.05961195884797961,0.9558321258600879
13,17,17,0.1567073999904096,0.16055230001802556,0,0.0,15.4,207.61328125,207.61328125,003063008080075088038127068151135067222150100117223152234109175119008069171216084215044230053153004035001054061062033237086005116209168010113224171224030109052112015089171216178035023125211027017004001080047062033048162113128037051013248143171152234012134112147089048209070254005027065127017182121094091023040048081074169067168010151123228152133012052132126076048255048208005137188106042004015121061062040127127021135209129010109082205224012106134235026191172216072177241027041027013004148066058062189011068113246055206013005143202199133109091098008075048214221035099011211011101182251038061202040237127113146067,204,6.707067729192628,383.2941176470588,3.431280153601107e-07,0.006717678220891638,0.3633880692712208
14,10,20,0.1634316999989096,0.16564299998572096,0,0.0,14.8,207.61328125,207.61328125,249239230132251170180004217134074102017152127237243168165134059077201129120191053061130187113156160125041132202167012153236031083092026193109215172062141139100184095140217019250012031116079156096228038143202196010062217070074092182240169125194049016027244234194129073041086021046133068083145140024137251170010044126025255251164158087112243049027139098120194038070215093050225069128105096114185049107172010004115161244240189038127019170241188042206119201028212180196012046162079197096114024132109172083062115020156251189152087019020015029051251119095211070041227160143133079195145189191231109245147203217184074246067052169226194015115212197070110045212191227061208028086206160072191132202018173146236137083251026152152215,240,6.887692574576867,348.79999999999995,8.484212806503035e-05,0.03158657535074548,0.5849459305710742
15,8,14,0.1691698000067845,0.1651168999960646,0,100.0,19.5,207.61328125,207.61328125,141249246179163117066203061189066121250055047043242144240201190198169236174119254095217006215029205249003179086128002126014103174036111024111114193101222187231219060236027119141070247105066199056076153243154175183017032007123086050024092231039141195231222169060172027130141183095105066135141099026128154053002203014171066064111173022107030255118056190219005042098055254070234016098167173076153070054117183062061146066086195088218107239233240097022051169236238159011153095041151114075185246174163128002146,168,6.546019413822061,362.28571428571433,1.1166406051638344e-05,-0.023030095569464355,0.7122079585877599
16,19,11,0.18682669999543577,0.21693019999656826,0,0.0,28.9,207.61328125,207.61328125,037231200174082044241199176204153242053062134127227100027070143062230172063255001065235094051097025011006035182139157171066074146080199110103047095100027182127062002121236015001065223081226100027211249038082220152249079117146175055107121042096190193068165184002072208213229127082161237097025011249118218220021249176204146122056230103047107138147020145135062167188222048127235139224233073009249116,132,6.418415403577463,325.6969696969697,0.0018104286192590292,0.008550586203329312,0.3428659449295075
17,20,16,0.20558030001120642,0.21124780000536703,0,0.0,21.5,207.61328125,207.61328125,049021211163149074079167095017012002099104003226048170088041195135063226163194014207225004077116028227186224177058185205234069136209019156198020064105088125112003063101211178076226136047014116028023084161193255079206234150012147149219064087048044220041132135063033077178013207139108203116116080084037070249010138193097015208099219198198064046040174112247138012096068014138091154077116130147208113004255010205236210075038214158005022064170040173197211079101163070137138139190008154049125151230193074201206236150136038148076146020243046088041197135138012096069137136136234008154,192,6.598517987941994,384.0,3.032693904771945e-07,-0.042662454966173206,0.917189601280902
18,9,32,0.22947900000144728,0.21953539998503402,0,0.0,24.5,207.61328125,207.6171875,114230123054140216134025035005024005168233158145246112133208071142075096240240098018097002120154055199161051065206196025240002123019208045083145229189128113110106134198209249033088010097050179053230168135155234195172129164057019208201063242246148128029036223032173179208107126172048255147048141202054011122196186146064136017029058025214067211133087005125075193209052066124043133027179017225136051042204196191179007024055190152137184246103133087071204037173186151033121043065059154091199235093045234175186146164123019154045122145196209194115180142098096119179005088013035255154091227202144072203134186249164082084029152122192142214133101110142032096179249107088097133120246048230217144155122134212208007057017029233063098084214226101180167098164240179177059072097092147114225161054065234195158052179024019029142061242229103235113110203145198147151177223172035050208114227161084057204196184151179057019168152137214226209133101005167066173119035033124172038092208048087161049104160196158129017136005168224025117224189226052110201051173212240007121104146074087150064108049140169215172146105091017168058122214196209235052071125098164119149000200187048074208,384,7.010354798501869,500.0,4.3849619167992396e-18,0.07928131433081127,0.39784939953570664
19,10,9,0.21166230001836084,0.2064847000001464,0,0.0,28.4,207.625,207.625,087177097188075250242132203158134033184153046083188069178102000025053200085209199241030113141020134003235109111222042131095210040115156222234037120184033193021131053092145235058123030072141130170076038014085222102011086070229063255222088083027069171193154025189214085214178114025093176155193096051014200145097185086079052063,108,6.178362849325594,313.925925925926,0.006933740647559827,-0.036953275098485165,0.8370480744329529
20,8,29,0.22516639999230392,0.19285570000647567,0,0.0,25.5,207.6875,207.69140625,000135070149169198199249088178196046022079153042240230026001148074195226082124171255059081241251021118070095097233081051172021137134089079017202242057135043096175068173087234154244239066108062000042021215097198101051150085033134244232004021016228197001113237110224102234127225241153108229200184070216131198101051004157213033089170150000189006136062060074204173120225181244228030162207000103178216114233096211073136134033005079150000047164197004165226068005240244181203228140162240200179026112099035199211150070213183089096219000178044135001060175195042255222050244118182241098219173178117099252199113088178137169089232153000225247017163148101204224102047160058241030241109200130183149188097133214157026014134086096017042036164015225051175068052178062110203228140162240200179026112099035199211157021014099086170017030240230212001051190195224255062125058228017162098202184157074114195135034004085137188005096015219225050212163145079068063176225110102219182083047135173070215046247200249073157033134222126015200178003015053113175142224109225171102,348,6.915376106225443,503.8620689655172,1.6701500451402148e-18,0.013478023427103632,0.5269579994570481
21,20,30,0.19673200001125224,0.23096559999976307,0,33.3,24.3,207.69140625,207.69140625,240099087175129200075205116220001199084205136044075046028017157241083173162024250036004247252116221099058130129031075250235236179105180026088229184181082115094012158050197067254036155039049068039105048204177173098099211190209010153057088130075075071033173012100207012182004237159222053068211004048175031200119253211047179105157205117204136191113193125147099010193067004191163185204068221103201161120200181159017236225105153202077028184191123022157246099010193129198218248069063148240248201175134054065004239066001247099084088028125075178193173008179173207123254032159226049189217154052161177200208045017236179149180055077217125177224226080012158010249228097046159226252189039095206048114050075099022066040039100205077239075124113017207241100054060182004221102023252185211095052151134050130004229190020105153057117204184137028022173002154173197134003046159032082067240105206048081081098004229219079039180250136217038210123017094002253081197123051067182032082185032170048204031200065205017190079247153168143204069156178115207193179060094117051024248023053068221099058048129060119099,360,6.935467499365691,528.8888888888889,2.7024155976608668e-21,-0.09355231526761097,0.13620715431739883
22,8,13,0.19922629999928176,0.20199319999665022,0,0.0,24.6,207.69140625,207.6953125,101164093090240083063005249109220165138157007199034220008111253116170063229248142209171019048013122083151069194097255055079104193143117243013237148088008064075172170216248237067017029176053008204180183130221124234016112104230057120157055216190088208112075158191200202199067059153044010050122158186090215124050042101109236090146069174237129106008217147179128050124199100209190052032050080185151090253124213179101104230144138243007199166069034069121158103242229018142027,156,6.509635872652929,346.1538461538462,0.00012377849603217316,-0.04064915838409265,0.6900769259044055
